epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,591.506,1.59562,2.47374,1.39966,0.53349,0.44574,0.41971,0.21269,1.63162,2.47449,1.34505,0.000656716,0.000656716,0.000656716
2,1202.32,1.49052,1.72424,1.26926,0.69842,0.65112,0.69395,0.37443,1.64441,2.00111,1.44503,0.00119237,0.00119237,0.00119237
3,2311.84,1.46098,1.48047,1.26154,0.68603,0.64217,0.69769,0.36834,1.67306,1.60744,1.43738,0.00159602,0.00159602,0.00159602
4,2815.08,1.45486,1.34095,1.24378,0.5945,0.6136,0.63201,0.33345,1.67085,1.52657,1.37796,0.001406,0.001406,0.001406
5,3319.01,1.41614,1.21015,1.2395,0.7942,0.6869,0.767,0.41584,1.60327,1.27562,1.34576,0.001208,0.001208,0.001208
6,3823.33,1.37696,1.10159,1.20681,0.72881,0.70408,0.76806,0.44454,1.56246,1.28849,1.33345,0.00101,0.00101,0.00101
7,4357.67,1.32145,1.00368,1.17672,0.78053,0.73802,0.81517,0.44119,1.62115,1.11554,1.34031,0.000812,0.000812,0.000812
8,4866.73,1.30195,0.93804,1.16726,0.78509,0.77029,0.82355,0.46331,1.59815,1.07857,1.3412,0.000614,0.000614,0.000614
9,5373.42,1.27972,0.87348,1.15666,0.80188,0.73707,0.83155,0.47787,1.55415,1.05261,1.30624,0.000416,0.000416,0.000416
10,5875.29,1.23747,0.81944,1.1435,0.81421,0.75399,0.82756,0.48575,1.54348,1.01948,1.30679,0.000218,0.000218,0.000218
